Control_ID,Family_Name,Assessment_Status,Justification_Notes
AT-7(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-7(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-8,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-8(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-8(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-9,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-9(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-9(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-10,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-10(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-10(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-11,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-11(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-11(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-12,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-12(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-12(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-13,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-13(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-13(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-14,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-14(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-14(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-15,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-15(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-15(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-16,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-16(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-16(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-17,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-17(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-17(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-18,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-18(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-18(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-19,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-19(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-19(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-20,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-20(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-20(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-21,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-21(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-21(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-22,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-22(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-22(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-23,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-23(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-23(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-24,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-24(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-24(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-25,Awareness and Training,Pass,Mandatory security/privacy training for all developers.
AT-25(1),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AT-25(2),Awareness and Training Enhancement,Pass,Enhancement requirement: Mandatory security/privacy training for all developers.
AU-1,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-1(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-1(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-2,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-2(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-2(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-3,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-3(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-3(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-4,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-4(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-4(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-5,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-5(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-5(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-6,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-6(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-6(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-7,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-7(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-7(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-8,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-8(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-8(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-9,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-9(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-9(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-10,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-10(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-10(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-11,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-11(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-11(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-12,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-12(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-12(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-13,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-13(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-13(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-14,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-14(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-14(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-15,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-15(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-15(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-16,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-16(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-16(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-17,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-17(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-17(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-18,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-18(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-18(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-19,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-19(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-19(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-20,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-20(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-20(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-21,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-21(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-21(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-22,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-22(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-22(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-23,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-23(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-23(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-24,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-24(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-24(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-25,Audit and Accountability,Pass,Full logging of API calls and model parameter changes.
AU-25(1),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
AU-25(2),Audit and Accountability Enhancement,Pass,Enhancement requirement: Full logging of API calls and model parameter changes.
CA-1,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-1(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-1(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-2,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-2(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-2(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-3,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-3(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-3(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-4,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-4(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-4(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-5,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-5(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-5(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-6,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-6(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-6(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-7,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-7(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-7(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-8,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-8(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-8(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-9,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-9(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-9(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-10,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-10(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-10(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-11,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-11(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-11(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-12,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-12(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-12(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-13,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-13(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-13(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-14,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-14(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-14(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-15,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-15(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-15(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-16,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-16(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-16(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-17,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-17(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-17(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-18,"Assessment, Auth, and Monitoring",Pass,Regular 3rd party audits (FedRAMP/SOC2).
CA-18(1),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
CA-18(2),"Assessment, Auth, and Monitoring Enhancement",Pass,Enhancement requirement: Regular 3rd party audits (FedRAMP/SOC2).
